pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,fare_amount,date,time,Distance (km),Distance (miles),Time Interval,fare_amount_group,Year,Month,Timestamp,Clouds,Dew Point,Feels Like,Humidity,Pressure,Sunrise,Sunset,Temp,Visibility,Weather Description,Weather Icon,Weather ID,Weather Main,Wind Degree,Wind Speed,Data Rain,Data Snow
2009-03-27 17:46:27,-73.991982,40.754068,-73.985752,40.761649,1,6.7,2009-03-27,17:46:27,0.9923242525001702,0.6166032364200046,5 pm - 8 pm,0 to 100,2009,March,1238175987,0,40.98,58.8,48,1016,1238150826,1238195707,60.76,10000,clear sky,01d,800,Clear,130,6.93,Data not found,Data not found
2009-08-27 22:33:52,-73.997259,40.721079,-73.995489,40.732665,1,5.7,2009-08-27,22:33:52,1.2960953771780446,0.805358331476285,8 pm - 11 pm,0 to 100,2009,Aug,1251412432,0,59.5,73.72,61,1019,1251368315,1251416200,73.78,10000,clear sky,01d,800,Clear,240,9.17,Data not found,Data not found
2009-07-08 18:58:00,-73.987873,40.762978,-73.982817,40.771875,1,6.9,2009-07-08,18:58:00,1.07636431382231,0.6688234393119602,5 pm - 8 pm,0 to 100,2009,Jul,1247079480,20,51.4,74.7,43,1013,1247045547,1247099358,75.43,10000,few clouds,02d,801,Clouds,320,11.41,Data not found,Data not found
2009-11-05 23:39:00,-73.998508,40.734732,-73.95233499999998,40.778062,5,11.7,2009-11-05,23:39:00,6.187969855283673,3.845035763284124,11pm - 12 am,0 to 100,2009,Nov,1257464340,100,37.08,42.98,63,1017,1257420685,1257457666,49.1,10000,light rain,10n,500,Rain,270,17.22,Data not found,Data not found
2010-01-06 12:44:28,-73.976158,40.788235,-73.955486,40.764507,1,10.5,2010-01-06,12:44:28,3.1589080834173084,1.962859360618209,10 am - 1 pm,0 to 100,2010,Jan,1262781868,100,15.57,15.12,58,1007,1262780410,1262814183,26.94,10000,overcast clouds,04d,804,Clouds,310,14.99,Data not found,Data not found
2009-03-14 20:49:00,-73.96624,40.758057,-73.951103,40.769098,1,5.7,2009-03-14,20:49:00,1.7687685399002242,1.0990645481378851,8 pm - 11 pm,0 to 100,2009,March,1237063740,0,25.79,44.11,39,1024,1237028922,1237071681,48.81,10000,clear sky,01d,800,Clear,180,11.41,Data not found,Data not found
2010-10-17 11:09:15,-73.982116,40.74743,-73.997023,40.752502,1,4.9,2010-10-17,11:09:15,1.3756985747225656,0.8548215881805993,10 am - 1 pm,0 to 100,2010,Oct,1287313755,75,35.92,43.68,59,1012,1287313750,1287353580,49.64,10000,broken clouds,04d,803,Clouds,320,17.22,Data not found,Data not found
2009-07-20 12:49:00,-73.975133,40.790042,-73.968867,40.788463,1,3.7,2009-07-20,12:49:00,0.5556224092731604,0.3452486169940226,10 am - 1 pm,0 to 100,2009,Jul,1248094140,0,64.18,74.25,72,1023,1248082892,1248135758,73.78,10000,clear sky,01d,800,Clear,60,10.29,Data not found,Data not found
2009-02-24 20:40:00,-73.971777,40.76031,-73.988063,40.72269,1,11.3,2009-02-24,20:40:00,4.399659537683051,2.733828487257541,8 pm - 11 pm,0 to 100,2009,Feb,1235508000,0,12.09,29.08,31,1026,1235475428,1235515279,37.56,10000,clear sky,01d,800,Clear,310,13.87,Data not found,Data not found
2010-12-17 21:26:00,-73.977575,40.787225,-74.007535,40.733525,2,14.1,2010-12-17,21:26:00,6.478381487972308,4.0254896342428,8 pm - 11 pm,0 to 100,2010,Dec,1292621160,0,18.7,26.29,49,1016,1292588072,1292621383,34.18,10000,clear sky,01d,800,Clear,300,10.29,Data not found,Data not found
