<<<<<<< HEAD
,pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,fare_amount,date,time,fare_amount_group,Year,Timestamp,Month
156104,2009-12-16 11:15:49,-73.985628,40.735172,-73.98400699999998,40.748249,1,6.9,2009-12-16,11:15:49,0 to 100,2009,1260962149,Dec
111070,2011-04-08 13:45:32,-73.968676,40.764571000000004,-73.983735,40.743894,1,8.9,2011-04-08,13:45:32,0 to 100,2011,1302270332,Apr
55061,2009-03-06 13:24:28,-73.97288,40.752885,-73.963963,40.771996,1,7.3,2009-03-06,13:24:28,0 to 100,2009,1236345868,March
182709,2011-12-08 11:04:21,-73.989836,40.757371,-73.980234,40.760383000000004,2,6.9,2011-12-08,11:04:21,0 to 100,2011,1323342261,Dec
97920,2011-08-15 21:31:00,-73.99266999999998,40.737715,-73.980618,40.73775300000001,1,5.3,2011-08-15,21:31:00,0 to 100,2011,1313443860,Aug
92691,2012-10-27 00:44:51,-73.989835,40.690271,-73.976067,40.675504,1,8.0,2012-10-27,00:44:51,0 to 100,2012,1351298691,Oct
31847,2013-09-18 23:50:00,-73.98494699999998,40.727925,-74.001997,40.73956,1,7.5,2013-09-18,23:50:00,0 to 100,2013,1379548200,Sep
72380,2011-02-14 18:36:37,-73.97251899999998,40.749676,-73.985363,40.723863,1,7.7,2011-02-14,18:36:37,0 to 100,2011,1297708597,Feb
86825,2010-05-08 18:25:00,-74.00401,40.725485,-73.988855,40.752278000000004,1,8.1,2010-05-08,18:25:00,0 to 100,2010,1273343100,May
153543,2011-02-24 08:37:00,0.0,0.0,0.0,0.0,1,8.5,2011-02-24,08:37:00,0 to 100,2011,1298536620,Feb
119453,2014-02-11 14:08:00,-73.979472,40.75522700000001,-73.991687,40.73895200000001,1,6.0,2014-02-11,14:08:00,0 to 100,2014,1392127680,Feb
56361,2014-01-23 23:51:40,-74.003374,40.738818,-74.000821,40.731601,1,5.5,2014-01-23,23:51:40,0 to 100,2014,1390521100,Jan
17314,2009-06-05 15:41:21,-73.987879,40.765008,-73.97835500000002,40.75336,1,6.5,2009-06-05,15:41:21,0 to 100,2009,1244216481,Jun
22368,2011-10-15 15:21:52,-73.986285,40.759423999999996,-73.87273499999998,40.774361,2,39.3,2011-10-15,15:21:52,0 to 100,2011,1318692112,Oct
156610,2012-12-29 17:21:00,-73.988682,40.733717,-73.98075,40.715875,1,8.5,2012-12-29,17:21:00,0 to 100,2012,1356801660,Dec
46618,2012-06-02 20:44:00,-73.97792700000002,40.75359,-74.001733,40.730618,1,10.1,2012-06-02,20:44:00,0 to 100,2012,1338669840,Jun
18401,2013-02-21 00:49:53,-73.9904,40.732939,-73.990808,40.696319,1,14.0,2013-02-21,00:49:53,0 to 100,2013,1361407793,Feb
181650,2009-05-31 18:23:00,-73.968243,40.762953,-73.982065,40.775211999999996,1,6.9,2009-05-31,18:23:00,0 to 100,2009,1243794180,May
169607,2009-04-15 16:35:28,-74.003506,40.747504,-73.98145,40.750215999999995,2,6.5,2009-04-15,16:35:28,0 to 100,2009,1239813328,Apr
36582,2011-04-23 16:35:07,-73.987736,40.722569,-74.009977,40.711290999999996,2,10.5,2011-04-23,16:35:07,0 to 100,2011,1303576507,Apr
