<<<<<<< HEAD
pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,fare_amount,date,time,Distance (km),Distance (miles),Time Interval,fare_amount_group,Year,Month,Timestamp,Clouds,Dew Point,Feels Like,Humidity,Pressure,Sunrise,Sunset,Temp,Visibility,Weather Description,Weather Icon,Weather ID,Weather Main,Wind Degree,Wind Speed,Data Rain,Data Snow
2012-01-31 07:53:52,-73.957249,40.783054,-73.975848,40.755164,1,10.5,2012-01-31,07:53:52,3.4721302685270445,2.1574870869592786,7 am - 10 am,0 to 100,2012,Jan,1327996432,100,19.71,25.93,53,1025,1328011641,1328047857,33.44,10000,overcast clouds,04n,804,Clouds,200,9.17,Data not found,Data not found
2011-01-26 01:14:51,-73.993449,40.727387,-73.980559,40.746704,1,6.1,2011-01-26,01:14:51,2.4053880107105576,1.494642530919854,12 am- 4 am,0 to 100,2011,Jan,1296004491,100,26.65,26.42,78,1021,1295957528,1295993047,32.04,10000,mist,50n,701,Mist,200,5.82,Data not found,Data not found
2012-03-12 08:00:08,-73.981595,40.740777,-73.95575500000002,40.785052,0,12.9,2012-03-12,08:00:08,5.379334885266318,3.3425720390137057,7 am - 10 am,0 to 100,2012,March,1331539208,0,32.81,42.01,56,1026,1331550701,1331593171,47.71,10000,clear sky,01n,800,Clear,250,13.87,Data not found,Data not found
2012-07-08 22:57:00,-73.98902199999998,40.738054999999996,-73.976835,40.785132,1,11.7,2012-07-08,22:57:00,5.331055440581534,3.312572508345989,8 pm - 11 pm,0 to 100,2012,Jul,1341788220,40,66.43,87.37,54,1012,1341739961,1341793748,84.92,10000,scattered clouds,03d,802,Clouds,180,11.5,Data not found,Data not found
2011-04-15 21:39:00,-74.00960699999997,40.70445,-73.988825,40.730917,1,8.9,2011-04-15,21:39:00,3.4225949643015268,2.1267071994118867,8 pm - 11 pm,0 to 100,2011,Apr,1302903540,100,32.29,43.48,53,1031,1302862641,1302910465,48.63,10000,overcast clouds,04d,804,Clouds,150,12.75,Data not found,Data not found
2012-10-20 00:30:00,-73.985827,40.763104999999996,-73.987752,40.732696999999995,1,14.0,2012-10-20,00:30:00,3.3829763992237987,2.102089303207401,12 am- 4 am,0 to 100,2012,Oct,1350693000,100,63,65.07,95,1006,1350645117,1350684560,64.45,4828,mist,50n,701,Mist,160,13.87,Data not found,Data not found
2012-07-06 16:42:00,-73.977827,40.75330200000001,-73.974775,40.783015,1,8.9,2012-07-06,16:42:00,3.3118363875501933,2.057884839468473,1 pm - 5 pm,0 to 100,2012,Jul,1341592920,0,60.37,89.92,37,1013,1341567078,1341620989,90.14,10000,clear sky,01d,800,Clear,0,6.93,Data not found,Data not found
2012-07-02 12:50:25,-73.99257800000002,40.753557,-73.979052,40.753225,1,6.1,2012-07-02,12:50:25,1.1392189600533629,0.7078796028517048,10 am - 1 pm,0 to 100,2012,Jul,1341233425,0,58.41,80.92,47,1014,1341221344,1341275451,80.47,10000,clear sky,01d,800,Clear,350,12.66,Data not found,Data not found
2012-01-17 14:38:00,-73.992292,40.758796999999994,-73.999392,40.75431500000001,1,4.5,2012-01-17,14:38:00,0.7779802076234286,0.4834156906703546,1 pm - 5 pm,0 to 100,2012,Jan,1326811080,100,38.93,35.53,85,1015,1326802633,1326837255,43.12,10000,overcast clouds,04d,804,Clouds,260,16.11,Data not found,Data not found
2012-06-17 15:26:56,-74.00393299999998,40.742078,-74.002124,40.750640000000004,2,5.3,2012-06-17,15:26:56,0.9635652239495841,0.5987331601461369,1 pm - 5 pm,0 to 100,2012,Jun,1339946816,40,57.13,68.2,67,1023,1339925062,1339979387,68.5,10000,scattered clouds,03d,802,Clouds,40,17.22,Data not found,Data not found
2011-06-08 09:32:45,-74.001506,40.746444,-74.009311,40.729512,1,6.5,2011-06-08,09:32:45,1.9930356656206305,1.2384180257873605,7 am - 10 am,0 to 100,2011,Jun,1307525565,0,64.11,74.14,72,1013,1307525095,1307579124,73.69,9656,haze,50d,721,Haze,260,4.7,Data not found,Data not found
2012-05-12 05:14:53,-73.961536,40.801106,-73.962089,40.805347999999995,1,3.7,2012-05-12,05:14:53,0.4736822926150136,0.2943332624647455,4 am - 7 am,0 to 100,2012,May,1336799693,0,39.92,55.26,52,1021,1336815660,1336867410,57.38,10000,clear sky,01n,800,Clear,260,10.29,Data not found,Data not found
2011-01-20 16:05:00,-73.982998,40.766225,-74.00505,40.749755,1,8.9,2011-01-20,16:05:00,2.6067742880195093,1.6197784731750338,1 pm - 5 pm,0 to 100,2011,Jan,1295539500,0,17.98,20.88,53,1017,1295525730,1295560678,31.44,10000,clear sky,01d,800,Clear,310,14.99,Data not found,Data not found
2012-06-20 11:21:30,-73.983467,40.726277,-73.982605,40.739737,1,6.9,2012-06-20,11:21:30,1.497504210738693,0.9305082895713108,10 am - 1 pm,0 to 100,2012,Jun,1340191290,0,68.97,77.34,78,1021,1340184286,1340238627,76.33,9656,haze,50d,721,Haze,330,5.75,Data not found,Data not found
2012-02-17 18:13:00,-73.977628,40.75131500000001,-73.948262,40.776513,5,10.5,2012-02-17,18:13:00,3.7349374318104456,2.3207882932198576,5 pm - 8 pm,0 to 100,2012,Feb,1329502380,40,27.61,42.42,43,1013,1329479283,1329517928,48.47,10000,mist,50d,701,Mist,280,16.11,Data not found,Data not found
2011-01-08 20:40:00,-73.98243000000002,40.768373,-73.969398,40.762743,1,4.9,2011-01-08,20:40:00,1.2627219537025147,0.7846209959999222,8 pm - 11 pm,0 to 100,2011,Jan,1294519200,100,25.45,22.35,73,995,1294489195,1294523089,32.27,10000,haze,50d,721,Haze,310,13.87,Data not found,Data not found
2011-12-09 17:57:28,-73.981689,40.728148,-73.97979699999998,40.730018,1,2.9,2011-12-09,17:57:28,0.2618542142752729,0.1627090697275112,5 pm - 8 pm,0 to 100,2011,Dec,1323453448,0,37.71,47.84,62,1026,1323432493,1323466110,50.2,10000,clear sky,01d,800,Clear,200,14.99,Data not found,Data not found
2011-03-13 11:32:54,-73.957429,40.77959600000001,-73.973027,40.757096999999995,1,6.5,2011-03-13,11:32:54,2.823884789718265,1.7546850197710029,10 am - 1 pm,0 to 100,2011,March,1300015974,75,24.84,41.95,38,1014,1300014670,1300057181,48.31,10000,broken clouds,04d,803,Clouds,280,17.22,Data not found,Data not found
2012-03-05 10:03:00,-73.985783,40.72232800000001,-73.945998,40.778842,1,17.7,2012-03-05,10:03:00,7.117404207277263,4.422560930118721,10 am - 1 pm,0 to 100,2012,March,1330941780,0,19.87,21.97,54,1011,1330946580,1330987914,33.15,10000,clear sky,01n,800,Clear,300,18.34,Data not found,Data not found
2012-01-07 12:57:00,-73.97766800000002,40.786871999999995,-73.963417,40.78217,1,5.7,2012-01-07,12:57:00,1.3079886327197516,0.8127484762199111,10 am - 1 pm,0 to 100,2012,Jan,1325941020,0,38.21,44.19,70,1009,1325938807,1325972611,47.48,10000,mist,50d,701,Mist,220,6.93,Data not found,Data not found
2012-08-03 21:58:00,-73.995187,40.754673,-73.983488,40.76442,5,5.7,2012-08-03,21:58:00,1.4638591807426762,0.9096021852080208,8 pm - 11 pm,0 to 100,2012,Aug,1344031080,0,72.68,91.94,66,1018,1343987697,1344038952,85.33,10000,clear sky,01d,800,Clear,176,11.5,Data not found,Data not found
2011-01-31 19:13:00,-74.014228,40.704238000000004,-73.983997,40.779543,1,16.9,2011-01-31,19:13:00,8.746802946337613,5.435024883702396,5 pm - 8 pm,0 to 100,2011,Jan,1296501180,0,11.86,18.14,44,1031,1296475630,1296511900,28.96,10000,clear sky,01d,800,Clear,340,13.87,Data not found,Data not found
2012-02-12 01:44:46,-73.987167,40.776196999999996,-73.99215799999998,40.759203,0,6.1,2012-02-12,01:44:46,1.934612706372148,1.2021155917159505,12 am- 4 am,0 to 100,2012,Feb,1329011086,100,21.09,26.1,51,1003,1328961344,1328999088,36.07,10000,overcast clouds,04n,804,Clouds,360,17.22,Data not found,Data not found
2012-08-09 15:55:16,-73.986005,40.740598,-73.94807,40.774687,1,12.1,2012-08-09,15:55:16,4.9544302943945935,3.0785479105686764,1 pm - 5 pm,0 to 100,2012,Aug,1344527716,20,68.11,89.67,55,1014,1344506452,1344556917,86.16,10000,few clouds,02d,801,Clouds,190,11.5,Data not found,Data not found
