pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,fare_amount,date,time,Distance (km),Distance (miles),Time Interval,fare_amount_group,Year,Month,Timestamp,Clouds,Dew Point,Feels Like,Humidity,Pressure,Sunrise,Sunset,Temp,Visibility,Weather Description,Weather Icon,Weather ID,Weather Main,Wind Degree,Wind Speed,Data Rain,Data Snow
2013-03-15 10:27:56,-73.988791,40.749691999999996,-73.971666,40.759037,1,9.5,2013-03-15,10:27:56,1.776658955590958,1.103967437328941,10 am - 1 pm,0 to 100,2013,March,1363343276,0,13.19,18.72,44,1017,1363345631,1363388549,30.38,10000,clear sky,01n,800,Clear,300,17.25,Data not found,Data not found
2013-08-23 11:16:23,-73.979252,40.761998,-73.98761800000003,40.752449,1,7.5,2013-08-23,11:16:23,1.2735453795346738,0.791346377729177,10 am - 1 pm,0 to 100,2013,Aug,1377256583,0,64.69,72.12,79,1014,1377252869,1377301370,71.55,9656,haze,50d,721,Haze,350,5.82,Data not found,Data not found
2014-03-28 22:20:00,-73.982625,40.774777,-73.966365,40.800745,1,8.0,2014-03-28,22:20:00,3.193562445992596,1.98439263672847,8 pm - 11 pm,0 to 100,2014,March,1396045200,100,47.91,59.27,63,1015,1396003551,1396048551,60.55,10000,overcast clouds,04d,804,Clouds,230,9.22,Data not found,Data not found
2013-08-04 11:00:27,-73.994051,40.751239,-73.99628,40.768171,1,10.5,2013-08-04,11:00:27,1.890901493320081,1.1749546356395049,10 am - 1 pm,0 to 100,2013,Aug,1375614027,0,54.52,66.51,64,1013,1375610141,1375661301,67.08,10000,clear sky,01d,800,Clear,320,9.22,Data not found,Data not found
2013-12-15 02:05:00,-73.99951,40.754445000000004,-73.956502,40.766996999999996,1,12.5,2013-12-15,02:05:00,3.8794524158498667,2.4105859643393357,12 am- 4 am,0 to 100,2013,Dec,1387073100,100,21.18,12.25,84,1019,1387023160,1387056549,24.85,805,snow,13n,601,Snow,60,28.86,Data not found,Data not found
2014-05-26 23:02:34,-74.005765,40.740542,-73.982916,40.765764000000004,1,9.5,2014-05-26,23:02:34,3.3993082933560568,2.112237496959037,11pm - 12 am,0 to 100,2014,May,1401145354,0,47.89,81.48,29,1012,1401096620,1401149770,83.46,10000,clear sky,01d,800,Clear,260,18.41,Data not found,Data not found
2013-08-05 11:06:09,-73.96748000000002,40.757816999999996,-73.97487199999998,40.741972,1,7.0,2013-08-05,11:06:09,1.867507810114435,1.1604184386856942,10 am - 1 pm,0 to 100,2013,Aug,1375700769,0,51.44,62.06,66,1018,1375696593,1375747626,62.96,10000,clear sky,01d,800,Clear,320,13.87,Data not found,Data not found
2014-11-24 12:46:00,-73.97865999999998,40.78295,-73.98888000000002,40.771,1,9.5,2014-11-24,12:46:00,1.5821082246277367,0.983078917213104,10 am - 1 pm,0 to 100,2014,Nov,1416833160,100,57.78,61.02,89,1006,1416830011,1416864728,61.03,10000,mist,50d,701,Mist,170,20.8,Data not found,Data not found
2013-05-05 00:37:00,-74.010345,40.711865,-73.989653,40.70163,1,7.5,2013-05-05,00:37:00,2.0813269152844,1.2932798012131679,12 am- 4 am,0 to 100,2013,May,1367714220,0,39.99,49.64,64,1026,1367661030,1367711699,51.76,10000,clear sky,01n,800,Clear,130,10.36,Data not found,Data not found
2014-01-28 09:38:00,-73.986312,40.739582,-73.996615,40.726455,1,5.5,2014-01-28,09:38:00,1.6972347267652657,1.0546153869072203,7 am - 10 am,0 to 100,2014,Jan,1390901880,20,-0.27,3.33,44,1024,1390910975,1390946882,15.93,10000,few clouds,02n,801,Clouds,355,19.55,Data not found,Data not found
2014-01-23 23:49:57,-73.99705300000002,40.723979,-74.000114,40.728544,1,4.0,2014-01-23,23:49:57,0.5690255930520074,0.3535769899785051,11pm - 12 am,0 to 100,2014,Jan,1390520997,75,6.8,7.02,53,1024,1390479204,1390514519,19.62,Data not found,broken clouds,04n,803,Clouds,313,20.69,Data not found,Data not found
2014-11-17 21:26:17,-73.963838,40.774771,-73.97025,40.76273,1,6.0,2014-11-17,21:26:17,1.4427778124897457,0.8965027977243749,8 pm - 11 pm,0 to 100,2014,Nov,1416259577,100,45.23,48.31,89,1001,1416224721,1416260196,48.31,3219,light rain,10d,500,Rain,0,0,Data not found,Data not found
2014-05-09 12:27:00,-73.962987,40.777952,-73.953642,40.776957,1,19.5,2014-05-09,12:27:00,0.7941145107196342,0.4934411067391814,10 am - 1 pm,0 to 100,2014,May,1399638420,100,52.7,54.5,92,1021,1399628684,1399679992,54.99,3219,mist,50d,701,Mist,335,20.69,Data not found,Data not found
2013-06-22 20:00:26,-74.001405,40.735937,-74.00822099999998,40.705913,1,10.0,2013-06-22,20:00:26,3.385444903474709,2.1036231644492207,8 pm - 11 pm,0 to 100,2013,Jun,1371931226,0,61.12,79.2,54,1023,1371893111,1371947453,79.2,10000,clear sky,01d,800,Clear,180,13.87,Data not found,Data not found
2014-02-10 10:25:10,-73.977666,40.725829,-73.978102,40.691234,1,21.0,2014-02-10,10:25:10,3.8445487343337774,2.388897768236531,10 am - 1 pm,0 to 100,2014,Feb,1392027910,0,13.53,10.13,64,1018,1392033374,1392071053,22.73,10000,clear sky,01n,800,Clear,300,20.8,Data not found,Data not found
2013-02-01 14:31:00,-73.967598,40.76303,-73.980962,40.76934,1,8.0,2013-02-01,14:31:00,1.3254369393033694,0.8235903782316785,1 pm - 5 pm,0 to 100,2013,Feb,1359729060,100,10.92,16.5,42,1012,1359720343,1359756792,28.96,10000,overcast clouds,04d,804,Clouds,300,18.39,Data not found,Data not found
2014-09-01 23:30:29,-73.984549,40.728562,-74.005319,40.747958000000004,2,9.5,2014-09-01,23:30:29,2.775616701221073,1.7246925455286473,11pm - 12 am,0 to 100,2014,Sep,1409614229,20,71.33,85.35,72,1014,1409566989,1409614149,81.21,10000,few clouds,02n,801,Clouds,180,9.22,Data not found,Data not found
2013-10-20 14:15:51,-73.957573,40.765691,-74.0043,40.72270200000001,1,25.5,2013-10-20,14:15:51,6.188524896251633,3.8453806506093375,1 pm - 5 pm,0 to 100,2013,Oct,1382278551,0,37.47,51.3,54,1015,1382267560,1382306888,53.69,10000,clear sky,01d,800,Clear,320,12.75,Data not found,Data not found
2013-11-16 10:34:00,-73.95189599999998,40.777019,-73.93494399999999,40.76920300000001,1,16.5,2013-11-16,10:34:00,1.670201125308173,1.0378174439883263,10 am - 1 pm,0 to 100,2013,Nov,1384598040,100,34.99,46.26,62,1026,1384602266,1384637827,47.34,10000,light rain,10n,500,Rain,340,3.44,Data not found,Data not found
2014-01-18 02:21:00,-73.98580799999998,40.73510200000001,-73.987302,40.72249,1,7.5,2014-01-18,02:21:00,1.4071455784708171,0.8743618989590871,12 am- 4 am,0 to 100,2014,Jan,1390011660,100,24.69,39.92,52,1014,1389961013,1389995690,39.92,Data not found,overcast clouds,04n,804,Clouds,0,0,Data not found,Data not found
2014-11-03 08:32:05,-73.990563,40.73725200000001,-73.994838,40.740395,1,5.5,2014-11-03,08:32:05,0.5015479300961383,0.3116482098848834,7 am - 10 am,0 to 100,2014,Nov,1415003525,0,25.72,35.42,54,1018,1415014120,1415051418,40.21,10000,clear sky,01n,800,Clear,240,6.93,Data not found,Data not found
2014-12-22 21:51:00,-73.975557,40.7554,-73.997437,40.761247,1,9.5,2014-12-22,21:51:00,1.9529793623945573,1.2135281310317008,8 pm - 11 pm,0 to 100,2014,Dec,1419285060,100,38.21,38.43,84,1024,1419250628,1419283912,42.69,10000,light intensity drizzle,09n,300,Drizzle,40,6.93,Data not found,Data not found
2013-01-24 17:02:00,-73.940887,40.792912,-73.952047,40.777883,6,5.5,2013-01-24,17:02:00,1.9159723989811848,1.1905330129004346,5 pm - 8 pm,0 to 100,2013,Jan,1359046920,0,0.5,8.31,36,1023,1359029548,1359064987,20.91,10000,clear sky,01d,800,Clear,330,21.85,Data not found,Data not found
2014-09-21 15:56:20,-73.991915,40.749046,-74.00240500000002,40.708728,1,17.5,2014-09-21,15:56:20,4.566598279419262,2.837559670063045,1 pm - 5 pm,0 to 100,2014,Sep,1411314980,100,66.58,72.82,83,1010,1411296151,1411340137,72.01,4828,haze,50d,721,Haze,40,4.7,Data not found,Data not found
2013-03-23 18:02:04,-74.005382,40.740583,-73.999447,40.722132,1,9.5,2013-03-23,18:02:04,2.1104004429576784,1.311345298667577,5 pm - 8 pm,0 to 100,2013,March,1364061724,100,19.58,34.2,36,1011,1364036033,1364080259,43.14,10000,overcast clouds,04d,804,Clouds,290,21.92,Data not found,Data not found
2014-11-01 12:22:00,-73.99006999999997,40.74091,-73.97524,40.764340000000004,1,11.0,2014-11-01,12:22:00,2.8874854332219364,1.7942047256775675,10 am - 1 pm,0 to 100,2014,Nov,1414844520,100,37.53,39.27,74,1011,1414841178,1414878760,45.3,10000,light rain,10d,500,Rain,30,12.75,Data not found,Data not found
2013-10-02 14:07:36,-73.97870400000002,40.754262,-73.994355,40.750229,1,10.0,2013-10-02,14:07:36,1.3916650679321116,0.8647427317609154,1 pm - 5 pm,0 to 100,2013,Oct,1380722856,0,54.27,70.12,56,1016,1380711216,1380753390,70.72,10000,clear sky,01d,800,Clear,280,11.5,Data not found,Data not found
2014-12-01 20:52:00,-73.97576,40.788077,-73.977327,40.792555,1,4.5,2014-12-01,20:52:00,0.5147863138463149,0.31987418062455103,8 pm - 11 pm,0 to 100,2014,Dec,1417467120,100,41.2,53.73,58,1023,1417435263,1417469358,55.72,10000,overcast clouds,04d,804,Clouds,330,14.99,Data not found,Data not found
2014-07-20 08:28:20,-73.992687,40.71392700000001,-74.006855,40.74257,1,12.0,2014-07-20,08:28:20,3.399226170441396,2.1121864680188116,7 am - 10 am,0 to 100,2014,Jul,1405844900,100,60.69,67.59,79,1019,1405849295,1405902161,67.42,Data not found,moderate rain,10n,501,Rain,50,11.5,Data not found,Data not found
2014-12-14 17:47:00,-73.971323,40.758102,-73.982272,40.756402,1,9.0,2014-12-14,17:47:00,0.9407975350135488,0.5845859389647613,5 pm - 8 pm,0 to 100,2014,Dec,1418579220,100,29.55,38.48,55,1012,1418559143,1418592538,44.35,10000,overcast clouds,04d,804,Clouds,330,11.5,Data not found,Data not found
2013-03-23 23:09:51,-73.971438,40.757697,-73.98640999999998,40.734473,1,11.5,2013-03-23,23:09:51,2.872140824753484,1.7846700043207049,11pm - 12 am,0 to 100,2013,March,1364080191,100,18.32,34.05,34,1011,1364036025,1364080251,43.03,10000,overcast clouds,04d,804,Clouds,310,21.85,Data not found,Data not found
2014-01-16 18:49:00,-74.009302,40.706497,-74.014032,40.717452,2,8.5,2014-01-16,18:49:00,1.2809145617725308,0.7959253866631855,5 pm - 8 pm,0 to 100,2014,Jan,1389898140,100,30.25,34.09,67,1012,1389874642,1389909232,40.08,10000,overcast clouds,04d,804,Clouds,330,9.22,Data not found,Data not found
2014-03-25 20:05:37,-73.95786700000002,40.768736,-73.986097,40.7673,1,9.5,2014-03-25,20:05:37,2.3812370990164338,1.4796358128278886,8 pm - 11 pm,0 to 100,2014,March,1395777937,0,14.81,28.2,36,1016,1395744646,1395789157,37.17,10000,clear sky,01d,800,Clear,140,14.99,Data not found,Data not found
2013-01-16 18:40:27,-74.003284,40.749113,-73.997236,40.737437,1,7.0,2013-01-16,18:40:27,1.3938371315591631,0.8660923928810338,5 pm - 8 pm,0 to 100,2013,Jan,1358361627,100,31.93,26.94,91,1011,1358338641,1358373241,34.27,4023,mist,50d,701,Mist,340,9.22,Data not found,Data not found
2013-06-30 04:04:55,-73.99714300000002,40.720618,-73.992296,40.689106,1,11.5,2013-06-30,04:04:55,3.5254999161377545,2.1906495309491807,4 am - 7 am,0 to 100,2013,Jun,1372565095,0,70.79,78.66,80,1006,1372584484,1372638664,77.45,10000,clear sky,01n,800,Clear,190,6.93,Data not found,Data not found
