pickup_datetime,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,passenger_count,fare_amount,date,time,Distance (km),Distance (miles),Time Interval,fare_amount_group,Year,Month,Timestamp,Clouds,Dew Point,Feels Like,Humidity,Pressure,Sunrise,Sunset,Temp,Visibility,Weather Description,Weather Icon,Weather ID,Weather Main,Wind Degree,Wind Speed,Data Rain,Data Snow
2012-01-31 07:53:52,-73.957249,40.783054,-73.975848,40.755164,1,10.5,2012-01-31,07:53:52,3.472130268527045,2.1574870869592786,7 am - 10 am,0 to 100,2012,Jan,1327996432, , , , , , , , , , , , , , , , , 
2011-01-26 01:14:51,-73.993449,40.727387,-73.980559,40.746704,1,6.1,2011-01-26,01:14:51,2.4053880107105576,1.494642530919854,12 am- 4 am,0 to 100,2011,Jan,1296004491, , , , , , , , , , , , , , , , , 
2012-03-12 08:00:08,-73.981595,40.740777,-73.95575500000001,40.785052,0,12.9,2012-03-12,08:00:08,5.379334885266318,3.342572039013706,7 am - 10 am,0 to 100,2012,March,1331539208, , , , , , , , , , , , , , , , , 
2012-07-08 22:57:00,-73.98902199999999,40.738055,-73.976835,40.785132,1,11.7,2012-07-08,22:57:00,5.331055440581534,3.312572508345989,8 pm - 11 pm,0 to 100,2012,Jul,1341788220, , , , , , , , , , , , , , , , , 
2011-04-15 21:39:00,-74.00960699999999,40.70445,-73.988825,40.730917,1,8.9,2011-04-15,21:39:00,3.422594964301526,2.1267071994118867,8 pm - 11 pm,0 to 100,2011,Apr,1302903540, , , , , , , , , , , , , , , , , 
2012-10-20 00:30:00,-73.985827,40.763105,-73.987752,40.732697,1,14.0,2012-10-20,00:30:00,3.3829763992237987,2.102089303207401,12 am- 4 am,0 to 100,2012,Oct,1350693000, , , , , , , , , , , , , , , , , 
2012-07-06 16:42:00,-73.977827,40.753302000000005,-73.974775,40.783015,1,8.9,2012-07-06,16:42:00,3.3118363875501933,2.057884839468473,1 pm - 5 pm,0 to 100,2012,Jul,1341592920, , , , , , , , , , , , , , , , , 
2012-07-02 12:50:25,-73.99257800000001,40.753557,-73.979052,40.753225,1,6.1,2012-07-02,12:50:25,1.1392189600533629,0.7078796028517048,10 am - 1 pm,0 to 100,2012,Jul,1341233425, , , , , , , , , , , , , , , , , 
2012-01-17 14:38:00,-73.992292,40.758797,-73.999392,40.754315000000005,1,4.5,2012-01-17,14:38:00,0.7779802076234286,0.4834156906703546,1 pm - 5 pm,0 to 100,2012,Jan,1326811080, , , , , , , , , , , , , , , , , 
2012-06-17 15:26:56,-74.00393299999999,40.742078,-74.002124,40.75064,2,5.3,2012-06-17,15:26:56,0.963565223949584,0.5987331601461369,1 pm - 5 pm,0 to 100,2012,Jun,1339946816, , , , , , , , , , , , , , , , , 
2011-06-08 09:32:45,-74.001506,40.746444,-74.009311,40.729512,1,6.5,2011-06-08,09:32:45,1.9930356656206305,1.2384180257873605,7 am - 10 am,0 to 100,2011,Jun,1307525565, , , , , , , , , , , , , , , , , 
2012-05-12 05:14:53,-73.961536,40.801106,-73.962089,40.805348,1,3.7,2012-05-12,05:14:53,0.4736822926150136,0.2943332624647455,4 am - 7 am,0 to 100,2012,May,1336799693, , , , , , , , , , , , , , , , , 
2011-01-20 16:05:00,-73.982998,40.766225,-74.00505,40.749755,1,8.9,2011-01-20,16:05:00,2.606774288019509,1.6197784731750338,1 pm - 5 pm,0 to 100,2011,Jan,1295539500, , , , , , , , , , , , , , , , , 
2012-06-20 11:21:30,-73.983467,40.726277,-73.982605,40.739737,1,6.9,2012-06-20,11:21:30,1.497504210738693,0.9305082895713108,10 am - 1 pm,0 to 100,2012,Jun,1340191290, , , , , , , , , , , , , , , , , 
2012-02-17 18:13:00,-73.977628,40.751315000000005,-73.948262,40.776513,5,10.5,2012-02-17,18:13:00,3.7349374318104456,2.3207882932198576,5 pm - 8 pm,0 to 100,2012,Feb,1329502380, , , , , , , , , , , , , , , , , 
2011-01-08 20:40:00,-73.98243000000001,40.768373,-73.969398,40.762743,1,4.9,2011-01-08,20:40:00,1.2627219537025147,0.7846209959999222,8 pm - 11 pm,0 to 100,2011,Jan,1294519200, , , , , , , , , , , , , , , , , 
2011-12-09 17:57:28,-73.981689,40.728148,-73.97979699999999,40.730018,1,2.9,2011-12-09,17:57:28,0.2618542142752729,0.1627090697275112,5 pm - 8 pm,0 to 100,2011,Dec,1323453448, , , , , , , , , , , , , , , , , 
2011-03-13 11:32:54,-73.957429,40.779596000000005,-73.973027,40.757097,1,6.5,2011-03-13,11:32:54,2.823884789718265,1.7546850197710029,10 am - 1 pm,0 to 100,2011,March,1300015974, , , , , , , , , , , , , , , , , 
2012-03-05 10:03:00,-73.985783,40.722328000000005,-73.945998,40.778842,1,17.7,2012-03-05,10:03:00,7.117404207277264,4.422560930118722,10 am - 1 pm,0 to 100,2012,March,1330941780, , , , , , , , , , , , , , , , , 
